ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
BARBASTRO,1,2017,6.6,-20.9,24,191.2,88.4775566867191,17.9,-9.4,3.7,-1.2
BARBASTRO,12,2017,23.8,-14,63,99.4,51.9,18.9,-8.8,3.8,-1.5
BARBASTRO,10,2017,40.6,-13.5,75,68,61.9,30.9,2.8,16.5,1.4
BARBASTRO,2,2017,58.1,35.7,259375,249.3,104.528301886792,19.5,-2.1,8.6,2
BARBASTRO,7,2017,23.3,2.8,113.658536585366,509.2,119.083255378859,38.3,9.1,24.8,0.699999999999999
BARBASTRO,6,2017,47.8,12.7,136.182336182336,485.9,119.356423483174,37.8,6.8,23.7,2.5
BARBASTRO,11,2017,7.6,-36.3,17.3,75.6,49.2,21.6,-4.4,8.4,-0.7
BARBASTRO,8,2017,7,-18.5,27.4509803921569,516.4,113.970425954535,38.6,7.4,24.3,0.300000000000001
BARBASTRO,3,2017,109.4,83.6,424.031007751938,358.7,135.716988270904,27,-1,11.8,1.7
BARBASTRO,9,2017,27.4,-28.4,49.1,27.4,49.1,32.1,4.5,18.7,-1.1
BARBASTRO,4,2017,34,-18,65.3846153846154,392.7,124.154283907683,28.9,-1,13.5016666666667,1.03333333333333
BARBASTRO,5,2017,45.4,-10.3,81.508078994614,438.1,117.768817204301,34,3.4,18.2,1.4
BELCHITE,11,2017,0,-30.4,0,12.7,12.6,20.2,-4.2,8.8,-0.8
BELCHITE,3,2017,20.8,0.699999999999999,103.482587064677,155,81.5789473684211,29.3,0.4,11.8,1.2
BELCHITE,6,2017,55.1,21.1,162.058823529412,228.9,72.574508560558,40.2,9.2,24.1,2.5
BELCHITE,5,2017,9.2,-42.1,17.9337231968811,173.8,61.7626154939588,35.7,2.3,19.3,2.3
BELCHITE,8,2017,34.5,14.4,171.641791044776,266.4,75.6818181818182,39.9,12.3,24.1,0.100000000000001
BELCHITE,7,2017,3,-13.5,18.1818181818182,231.9,69.8704429044893,39,12.1,25.2,0.699999999999999
BELCHITE,1,2017,4.8,-18.7,20.4255319148936,115.8,78.2432432432432,19,-7.1,5.6,-1
BELCHITE,4,2017,9.6,-30.5,23.9401496259352,164.6,71.5341156019122,29.5,0.3,14,2
BELCHITE,10,2017,10.4,-27.6,27.4,12.7,18,31.2,5.2,16.5,2.5
BELCHITE,12,2017,6.7,-16.9,28.4,19.4,15.6,18.8,-5.7,6.4,0.4
BELCHITE,9,2017,2.3,-30.2,7.1,2.3,7.1,32.5,5.3,18.5,-1.5
BELCHITE,2,2017,18.4,-3.5,84.0182648401826,134.2,78.9876397881106,19.7,-1.8,8.2,0.999999999999999
BELLO,6,2017,38.2,2,105.524861878453,268,83.1781502172564,35.9,6.2,21.5,3.11166666666666
BELLO,11,2017,4,-27.5,12.7,13.6,13.5,18.9,-11.3,5.6,-0.5
BELLO,3,2017,26.6,7,135.714285714286,186.3,99.7323340471092,24.4,-2.9,8.2,1.7
BELLO,8,2017,34.6,18.2,210.975609756098,360.5,100.250278086763,34.9,3.6,21.5,-0.199999999999999
BELLO,7,2017,5.4,-15.6,25.7142857142857,273.4,79.6620046620047,37.2,5.5,21.6,0.600000000000002
BELLO,9,2017,8.4,-23.4,26.4,8.4,26.4,29.1,-0.2,15.1,-0.9
BELLO,10,2017,1.2,-36.3,3.2,9.6,13.9,28.1,-3,13,2
BELLO,4,2017,17.5,-29.2,37.4732334047109,203.8,87.2805139186295,24,-2,10.4,1.28333333333334
BELLO,12,2017,10.2,-15.6,39.5,23.8,18.8,12.4,-11.7,2.4,-1.2
BELLO,5,2017,26,-26.5,49.5238095238095,229.8,80.3496503496504,29.4,0.1,14.3,2
BELLO,1,2017,12.8,-6.8,65.3061224489796,137,93.7072503419973,15.8,-11.3,2.1,-0.778333333333333
BELLO,2,2017,19,-2,90.4761904761905,156,93.3014354066986,18,-5.8,5.7,1.49
BENABARRE,9,2017,29.4,-36,45,29.4,45,30,4.1,16.8,-0.9
BENABARRE,10,2017,73,1.8,102.5,102.4,75,28.6,4.1,15.7,2.8
BENABARRE,6,2017,49.2,1.90000000000001,104.016913319239,623.1,115.282146160962,34.9,7.1,21.7,2.3
BENABARRE,11,2017,7.6,-48.6,13.5,112.4,58.3,20.8,-4.6,7.9,0
BENABARRE,8,2017,9,-35.7,20.1342281879195,653.6,106.449511400651,35.4,6.2,23.1,0.600000000000002
BENABARRE,2,2017,62.8,34.1,218.815331010453,347.7,112.088974854932,18.5,-2.7,7.3,2
BENABARRE,7,2017,9.8,-19,34.0277777777778,632.9,111.17161426313,36,7.8,23,0.199999999999999
BENABARRE,3,2017,141.8,106.1,397.198879551821,494.7,143.018213356461,24,-1.5,10.1,1.7
BENABARRE,4,2017,29,-40,42.0289855072464,523.7,126.223186309954,24.4,-1.9,11.8216666666667,1032
BENABARRE,1,2017,21.2,-16,56.989247311828,274.4,97.4777975133215,16.5,-7.3,3.6,-0.6
BENABARRE,12,2017,29.4,-22.1,57.1,143.5,58.7,15.6,-4.8,3.8,-0.9
BENABARRE,5,2017,50.2,-28.1,64.1123882503193,573.9,116.362530413625,31.1,1.9,16.2,1.9
BIELSA,7,2017,90.6,5.18222222222222,106.066912950726,1287.9,109.40666439505,35.6,6.4,21.3,0.699999999999999
BIELSA,5,2017,158.4,18.84,113.499570077386,1110.7,111.262731776488,32,-0.8,15.3,2.19
BIELSA,12,2017,137,32.7,131.4,255.4,50,16.2,-5.2,3.1,-0.7
BIELSA,3,2017,95.6,27.5422222222222,140.46888264873,903.5,125.038058069695,25.8,-3.8,9.4,1585
BIELSA,2,2017,157,87.1822222222222,224.87109300401,807.9,123.433547795678,20.4,-3.3,6.3,1.45666666666667
BIELSA,9,2017,41.4,-86.1,32.5,41.4,32.5,27.9,1,14.4,-0.3
BIELSA,4,2017,48.8,-87.3277777777778,35.8486715912337,952.3,110.899193490995,27,-2,11.3,2.59
BIELSA,11,2017,5,-118.2,4.1,118.4,29.1,18.6,-3.5,7.3,0.9
BIELSA,10,2017,72,-83.7,46.2,113.4,40,27,1.3,13.9,2.7
BIELSA,1,2017,63.8,-10.2322222222222,86.1786909603926,589.4,100.803064796269,14.3,-12.5,3.3,-0.4
BIELSA,8,2017,76,-6.86666666666666,91.7135961383749,1363.9,108.243072720234,35.9,5.5,20.7,1.43333333333333
BIELSA,6,2017,86.6,-6.88222222222223,92.6379347231797,1197.3,109.667964277536,35.7,4.5,19.5,2.35533333333333
BIESCAS,8,2017,73.2,0.276666666666671,100.379393883988,1331.8,114.718701726782,32.2,6,19.2,0.199999999999999
BIESCAS,7,2017,69.4,12.4666666666667,121.896955503513,1250.3,114.916927337845,30.1,6.8,19.4,-0.183333333333334
BIESCAS,5,2017,146.2,38.2966666666667,135.491643755213,1107.5,116.402913488724,27.3,-0.1,13.3,2.3
BIESCAS,12,2017,230.2,92.6,167.3,357.8,72.7,15,-6.2,2.4,-0.5
BIESCAS,11,2017,35.6,-96.8,26.9,127.6,36,18.3,-4.7,6.4,0.4
BIESCAS,2,2017,213.4,137.743333333333,282.063708860202,805.5,121.713508612874,17,-5.6,4.8,1.75666666666667
BIESCAS,9,2017,28.6,-61,31.9,28.6,31.9,25.6,1.9,13.2,-1.8
BIESCAS,10,2017,63.4,-69.1,47.8,92,41.4,25.7,0.1,13.1,2.1
BIESCAS,4,2017,89,-24.5033333333333,78.4117940735955,961.3,113.961115940884,24.5,-2,9.6,1.89
BIESCAS,6,2017,73.4,-6.23333333333333,92.1724570950188,1180.9,114.531506105308,32.4,4.7,18.2,2.7
BIESCAS,1,2017,87,-7.08333333333334,92.4712134632418,592.1,101.016247448008,12.9,-11.3,1.8,-385
BIESCAS,3,2017,66.8,-1.43000000000001,97.9041477356002,872.3,119.488240209306,22,-3.1,7.6,1485
BOQUIÑENI,11,2017,0.3,-31,1,22.4,20.6,21.4,-4.4,9,-0.6
BOQUIÑENI,1,2017,12.1,-12.1,50,146,92.9344366645449,15.5,-7.3,4.2,-1.4
BOQUIÑENI,7,2017,0.4,-12.4,3125,313.9,95.4103343465045,37.5,11.4,24.3,0.300000000000001
BOQUIÑENI,4,2017,5.7,-33.7,14.4670050761421,217,91.1764705882353,28.6,1.6,13.9,2.1
BOQUIÑENI,2,2017,28.2,8.7,144.615384615385,174.2,98.6409966024915,19.2,-2.2,7.9,1.7
BOQUIÑENI,3,2017,37.1,15.1,168.636363636364,211.3,106.394763343404,27.4,-0.1,11.4,1.4
BOQUIÑENI,10,2017,10.6,-35.8,22.8,22.1,28.6,29.4,3.5,16.2,2.2
BOQUIÑENI,8,2017,54.2,31.6,239.823008849558,368.1,104.692832764505,39.1,11.3,23.7,0.699999999999999
BOQUIÑENI,6,2017,70.2,43.4,261.940298507463,313.5,99.146110056926,38.3,10.2,23.6,2
BOQUIÑENI,9,2017,11.5,-19.4,37.2,11.5,37.2,32.3,5.3,18.1,-1.9
BOQUIÑENI,12,2017,9.5,-14.8,39.1,31.9,24,18.5,-5.2,5.9,-0.1
BOQUIÑENI,5,2017,26.3,-25.1,51.1673151750973,243.3,84.0704906703525,34.7,1.5,19.2,2.2
BORJA,9,2017,2.4,-37.5,6,2.4,6,30.1,5.3,17.5,-1.5
BORJA,3,2017,29.7,6.5,128.01724137931,216.7,101.025641025641,26.8,1,11.5,0.800000000000001
BORJA,10,2017,6.1,-32.5,15.8,8.5,10.8,27.1,3.8,16.1,2.1
BORJA,2,2017,45.5,21.8,191.983122362869,181.4,94.8248823836905,18.1,-0.4,8.7,1.6
BORJA,7,2017,5.7,-17.7,24.3589743589744,325.3,88.4207665126393,37.3,9.8,23.8,0.800000000000001
BORJA,6,2017,79.8,48.5,254.952076677316,319.6,92.7721335268505,37.6,8.8,22.7,1.7
BORJA,11,2017,9.3,-25,27.1,17.8,15.8,21.7,-3.1,9,-0.6
BORJA,4,2017,2,-50.4,3.81679389312977,218.7,81.9408017984264,27.5,3.5,14.5,1.04333333333333
BORJA,8,2017,95.5,71,389.795918367347,425.1,108.333333333333,37.9,11.5,23.1,0.100000000000001
BORJA,5,2017,21.1,-25.2,45.5723542116631,239.8,76.5644955300128,34,0.4,18.3,1.6
BORJA,12,2017,16.2,-13.3,54.9,38,26.7,16.1,-5.5,6.3,0.2
BORJA,1,2017,19.2,-6.1,75.8893280632411,132.8,79.236276849642,16.6,-5.5,5.6,-0.723333333333332
BUJARALOZ,10,2017,19.2,-17.7,52,30,42.1,29.4,4.2,17.2,1.8
BUJARALOZ,8,2017,20,0.993333333333332,105.226236408278,326.9,95.8444909208186,39.4,10.4,24.6,0.400000000000002
BUJARALOZ,2,2017,25,3.31666666666667,115.295926210607,144.5,82.9966877907756,17.5,-0.6,8.7,1.89
BUJARALOZ,6,2017,36.8,11.58,145.915939730373,256.7,83.7338262476895,37.9,10.7,24.3,2.5
BUJARALOZ,12,2017,4.8,-21.6,18.2,40.7,31.8,17.3,-4.8,4.8,-0.7
BUJARALOZ,11,2017,5.9,-24.4,19.5,35.9,35.3,20.4,-2.9,9,-0.4
BUJARALOZ,3,2017,47,28.5333333333333,254.512635379061,192.2,99.8078620761282,26.8,2.2,12.3,1.5
BUJARALOZ,5,2017,13.7,-36.22,27.4439102564102,219.9,78.1598028529453,34.1,2.5,19.4,1.79333333333334
BUJARALOZ,9,2017,10.8,-23.6,31.4,10.8,31.4,31.4,6.3,19,-2
BUJARALOZ,7,2017,50.2,34.7,323.870967741935,306.9,95.290830055889,37.9,11.2,24.9,-0.100000000000001
BUJARALOZ,4,2017,14,-24.8566666666667,36.0298533070258,206.2,89.0994987613067,28.8,-0.4,14.3,1.34333333333334
BUJARALOZ,1,2017,1.8,-22.6333333333333,7.36698499317872,103.2,67.7076499147094,16,-7.4,4.5,-0.423333333333332
CALAMOCHA,1,2017,19.4,1.4,107.777777777778,150.6,104.947735191638,18.2,-10.5,2.9,-0.9
CALAMOCHA,2,2017,23,3.6,118.556701030928,173.6,106.568446899939,20.5,-4.4,7,2
CALAMOCHA,3,2017,36.6,13.9,161.233480176211,210.2,113.254310344828,27.3,-1.6,10,2.1
CALAMOCHA,10,2017,6.6,-30.8,17.6,9.4,13.4,30.3,-1,14.9,2.1
CALAMOCHA,11,2017,6.6,-26.6,19.9,16,15.5,21.5,-8.8,6.8,-0.8
CALAMOCHA,12,2017,10,-12.3,44.8,26,20.7,14.9,-9.1,3.6,-0.9
CALAMOCHA,7,2017,11.8,-11.9,49.789029535865,317.8,87.984496124031,38.1,7.8,23,1
CALAMOCHA,5,2017,34,-29.4,53.6277602523659,267.2,92.1379310344828,32.5,1.2,16.8,2.9
CALAMOCHA,4,2017,23,-18,56.0975609756098,233.2,102.912621359223,27,-2.9,10.8683333333333,1.10452120963328
CALAMOCHA,9,2017,2.8,-29.8,8.6,2.8,8.6,31.7,0.8,16.9,-0.7
CALAMOCHA,6,2017,38.8,-8.7,81.6842105263158,306,90.6666666666667,37.8,7.4,22.4,3.8
CALAMOCHA,8,2017,26,-3,89.6551724137931,343.8,88.1086622245003,37.3,6.3,23,1.3
